election_num,state,Ypos,Xpos,MOE_original, MOE_instance,Trump,Clinton,Trump_New, Clinton_New,Trump_EVotes,Clinton_EVotes,Flip_Ind,MOE_Rare_Ind,Surprise_Ind
1,Alabama,7,7,2.0,1.26,48,32,49.26,32,9,0,0,0,0
1,Alaska,1,1,4.9,2.6,43,47,43,49.6,0,3,0,0,0
1,Arizona,6,2,4.9,1.0,47,45,48.0,45,11,0,0,0,0
1,Arkansas,6,5,4.1,1.75,59,36,59,37.75,6,0,0,0,0
1,California,5,1,4.9,3.62,35,58,35,61.62,0,55,0,0,0
1,Colorado,5,3,3.7,3.01,43,48,46.01,48,0,9,0,0,0
1,Connecticut,4,10,3.0,1.79,35,50,36.79,50,0,7,0,0,0
1,Delaware,5,10,4.1,1.86,30,51,30,52.86,0,3,0,0,0
1,District of Columbia,6,9,4.9,5.98,4,91,9.98,91,0,3,0,1,0
1,Florida,8,9,3.3,0.02,50,46,50.02,46,29,0,0,0,0
1,Georgia,7,8,2.8,2.37,52,45,54.37,45,16,0,0,0,0
1,Hawaii,1,2,5.0,1.34,30,62,30,63.34,0,4,0,0,0
1,Idaho,3,2,4.0,1.89,48,29,49.89,29,4,0,0,0,0
1,Illinois,3,6,4.3,3.0,41,53,41,56.0,0,20,0,0,0
1,Indiana,4,6,4.0,1.81,48,37,49.81,37,11,0,0,0,0
1,Iowa,4,5,3.5,2.06,46,39,46,41.06,6,0,0,0,0
1,Kansas,6,4,5.5,2.52,58,34,60.52,34,6,0,0,0,0
1,Kentucky,5,6,4.0,3.96,54,37,57.96,37,8,0,0,0,0
1,Louisiana,7,5,4.4,0.78,50,35,50.78,35,8,0,0,0,0
1,Maine,1,11,3.5,0.7,42,46,42,46.7,0,4,0,0,0
1,Maryland,5,9,4.0,2.71,27,63,29.71,63,0,10,0,0,0
1,Massachusetts,3,10,5.0,1.1,26,56,27.1,56,0,11,0,0,0
1,Michigan,3,7,2.8,2.0,49,47,51.0,47,16,0,0,0,0
1,Minnesota,3,5,3.9,0.17,39,49,39.17,49,0,10,0,0,0
1,Missouri,7,6,3.5,1.96,47,41,47,42.96,10,0,0,0,0
1,Mississippi,5,5,2.9,0.71,54,39,54,39.71,6,0,0,0,0
1,Montana,3,3,3.2,2.51,46,36,46,38.51,3,0,0,0,0
1,Nebraska,5,4,3.6,1.01,56,29,56,30.01,5,0,0,0,0
