election_num,state,Ypos,Xpos,MOE_original, MOE_instance,Trump,Clinton,Trump_New, Clinton_New,Trump_EVotes,Clinton_EVotes,Flip_Ind,MOE_Rare_Ind,Surprise_Ind
1,totals,,,,,,,1,0,278,260,,,0
2,totals,,,,,,,0,1,268,270,,,3
3,totals,,,,,,,0,1,241,297,,,0
4,totals,,,,,,,0,1,247,291,,,0
5,totals,,,,,,,0,1,245,293,,,0
6,totals,,,,,,,0,1,252,286,,,1
7,totals,,,,,,,1,0,272,266,,,0
8,totals,,,,,,,0,1,248,290,,,1
9,totals,,,,,,,0,1,261,277,,,2
10,totals,,,,,,,0,1,248,290,,,0
11,totals,,,,,,,0,1,257,281,,,0
12,totals,,,,,,,0,1,249,289,,,1
13,totals,,,,,,,1,0,272,266,,,0
14,totals,,,,,,,0,1,263,275,,,0
15,totals,,,,,,,0,1,266,272,,,1
16,totals,,,,,,,0,1,252,286,,,0
17,totals,,,,,,,1,0,272,266,,,0
18,totals,,,,,,,0,1,256,282,,,0
19,totals,,,,,,,0,1,256,282,,,1
20,totals,,,,,,,0,1,257,281,,,0
21,totals,,,,,,,0,1,263,275,,,0
22,totals,,,,,,,1,0,291,247,,,2
23,totals,,,,,,,0,1,257,281,,,0
24,totals,,,,,,,0,1,246,292,,,0
25,totals,,,,,,,0,1,247,291,,,1
26,totals,,,,,,,1,0,272,266,,,0
27,totals,,,,,,,0,1,267,271,,,0
28,totals,,,,,,,0,1,247,291,,,1
29,totals,,,,,,,0,1,255,283,,,1
30,totals,,,,,,,1,0,272,266,,,0
31,totals,,,,,,,0,1,263,275,,,0
32,totals,,,,,,,1,0,272,266,,,0
33,totals,,,,,,,0,1,247,291,,,0
34,totals,,,,,,,0,1,263,275,,,0
35,totals,,,,,,,0,1,263,275,,,0
36,totals,,,,,,,0,1,261,277,,,0
37,totals,,,,,,,0,1,262,276,,,1
38,totals,,,,,,,0,1,257,281,,,0
39,totals,,,,,,,1,0,278,260,,,0
40,totals,,,,,,,0,1,264,274,,,0
41,totals,,,,,,,0,1,267,271,,,0
42,totals,,,,,,,0,1,257,281,,,0
43,totals,,,,,,,1,0,278,260,,,0
44,totals,,,,,,,0,1,228,310,,,1
45,totals,,,,,,,0,1,251,287,,,0
46,totals,,,,,,,0,1,246,292,,,0
47,totals,,,,,,,0,1,264,274,,,1
48,totals,,,,,,,0,1,263,275,,,0
49,totals,,,,,,,0,1,262,276,,,1
50,totals,,,,,,,0,1,241,297,,,0
51,totals,,,,,,,0,1,262,276,,,1
52,totals,,,,,,,0,1,263,275,,,0
53,totals,,,,,,,0,1,263,275,,,0
54,totals,,,,,,,0,1,247,291,,,0
55,totals,,,,,,,0,1,236,302,,,0
56,totals,,,,,,,0,1,265,273,,,1
57,totals,,,,,,,0,1,257,281,,,0
58,totals,,,,,,,1,0,298,240,,,1
59,totals,,,,,,,0,1,252,286,,,0
60,totals,,,,,,,0,1,257,281,,,0
61,totals,,,,,,,0,1,241,297,,,0
62,totals,,,,,,,0,1,261,277,,,0
63,totals,,,,,,,0,1,248,290,,,1
64,totals,,,,,,,0,1,246,292,,,0
65,totals,,,,,,,1,0,278,260,,,0
66,totals,,,,,,,1,0,278,260,,,0
67,totals,,,,,,,0,1,263,275,,,0
68,totals,,,,,,,0,1,257,281,,,1
69,totals,,,,,,,0,1,262,276,,,0
70,totals,,,,,,,1,0,278,260,,,0
71,totals,,,,,,,0,1,241,297,,,0
72,totals,,,,,,,0,1,263,275,,,0
73,totals,,,,,,,0,1,246,292,,,0
74,totals,,,,,,,0,1,247,291,,,1
75,totals,,,,,,,0,1,267,271,,,1
76,totals,,,,,,,0,1,257,281,,,0
77,totals,,,,,,,1,0,272,266,,,0
78,totals,,,,,,,1,0,272,266,,,0
79,totals,,,,,,,1,0,272,266,,,0
80,totals,,,,,,,0,1,254,284,,,1
81,totals,,,,,,,0,1,246,292,,,0
82,totals,,,,,,,1,0,272,266,,,0
83,totals,,,,,,,0,1,257,281,,,0
84,totals,,,,,,,0,1,263,275,,,0
85,totals,,,,,,,1,0,272,266,,,0
86,totals,,,,,,,1,0,275,263,,,0
87,totals,,,,,,,0,1,256,282,,,0
88,totals,,,,,,,0,1,267,271,,,0
89,totals,,,,,,,0,1,263,275,,,0
90,totals,,,,,,,1,0,272,266,,,0
91,totals,,,,,,,0,1,262,276,,,0
92,totals,,,,,,,0,1,241,297,,,0
93,totals,,,,,,,0,1,252,286,,,0
94,totals,,,,,,,0,1,263,275,,,1
95,totals,,,,,,,0,1,267,271,,,0
96,totals,,,,,,,0,1,257,281,,,0
97,totals,,,,,,,1,0,278,260,,,0
98,totals,,,,,,,0,1,257,281,,,0
99,totals,,,,,,,0,1,247,291,,,0
100,totals,,,,,,,1,0,278,260,,,0
101,totals,,,,,,,0,1,265,273,,,1
102,totals,,,,,,,1,0,278,260,,,0
103,totals,,,,,,,0,1,263,275,,,0
104,totals,,,,,,,0,1,255,283,,,1
105,totals,,,,,,,0,1,262,276,,,2
106,totals,,,,,,,1,0,272,266,,,0
107,totals,,,,,,,0,1,261,277,,,0
108,totals,,,,,,,0,1,263,275,,,0
109,totals,,,,,,,1,0,278,260,,,0
110,totals,,,,,,,0,1,257,281,,,0
111,totals,,,,,,,1,0,278,260,,,0
112,totals,,,,,,,0,1,241,297,,,0
113,totals,,,,,,,0,1,255,283,,,1
114,totals,,,,,,,0,1,246,292,,,0
115,totals,,,,,,,0,1,247,291,,,0
116,totals,,,,,,,0,1,261,277,,,1
117,totals,,,,,,,0,1,264,274,,,1
118,totals,,,,,,,0,1,257,281,,,0
119,totals,,,,,,,0,1,252,286,,,2
120,totals,,,,,,,1,0,278,260,,,0
121,totals,,,,,,,1,0,280,258,,,1
122,totals,,,,,,,0,1,263,275,,,0
123,totals,,,,,,,1,0,287,251,,,1
124,totals,,,,,,,0,1,257,281,,,0
125,totals,,,,,,,1,0,281,257,,,1
126,totals,,,,,,,1,0,278,260,,,0
127,totals,,,,,,,0,1,246,292,,,0
128,totals,,,,,,,0,1,266,272,,,0
129,totals,,,,,,,1,0,272,266,,,0
130,totals,,,,,,,0,1,228,310,,,1
131,totals,,,,,,,1,0,276,262,,,1
132,totals,,,,,,,1,0,278,260,,,0
133,totals,,,,,,,0,1,230,308,,,1
134,totals,,,,,,,1,0,278,260,,,0
135,totals,,,,,,,1,0,277,261,,,1
136,totals,,,,,,,0,1,244,294,,,1
137,totals,,,,,,,0,1,266,272,,,1
138,totals,,,,,,,0,1,245,293,,,1
139,totals,,,,,,,0,1,252,286,,,0
140,totals,,,,,,,0,1,266,272,,,0
141,totals,,,,,,,1,0,295,243,,,2
142,totals,,,,,,,0,1,257,281,,,0
143,totals,,,,,,,0,1,263,275,,,0
144,totals,,,,,,,0,1,252,286,,,0
145,totals,,,,,,,0,1,257,281,,,0
146,totals,,,,,,,0,1,246,292,,,0
147,totals,,,,,,,0,1,262,276,,,0
148,totals,,,,,,,0,1,262,276,,,1
149,totals,,,,,,,0,1,246,292,,,0
150,totals,,,,,,,0,1,257,281,,,1
151,totals,,,,,,,0,1,263,275,,,0
152,totals,,,,,,,0,1,252,286,,,0
153,totals,,,,,,,0,1,251,287,,,0
154,totals,,,,,,,0,1,246,292,,,0
155,totals,,,,,,,0,1,257,281,,,0
156,totals,,,,,,,0,1,238,300,,,2
157,totals,,,,,,,0,1,261,277,,,0
158,totals,,,,,,,1,0,281,257,,,0
159,totals,,,,,,,1,0,273,265,,,1
160,totals,,,,,,,0,1,263,275,,,0
161,totals,,,,,,,0,1,267,271,,,2
162,totals,,,,,,,0,1,263,275,,,0
163,totals,,,,,,,0,1,241,297,,,0
164,totals,,,,,,,1,0,275,263,,,1
165,totals,,,,,,,1,0,275,263,,,2
166,totals,,,,,,,0,1,252,286,,,0
167,totals,,,,,,,1,0,270,268,,,1
168,totals,,,,,,,1,0,276,262,,,1
169,totals,,,,,,,0,1,247,291,,,0
170,totals,,,,,,,0,1,257,281,,,0
171,totals,,,,,,,0,1,262,276,,,1
172,totals,,,,,,,1,0,278,260,,,0
173,totals,,,,,,,0,1,246,292,,,1
174,totals,,,,,,,1,0,278,260,,,0
175,totals,,,,,,,1,0,272,266,,,0
176,totals,,,,,,,0,1,261,277,,,0
177,totals,,,,,,,1,0,272,266,,,1
178,totals,,,,,,,0,1,257,281,,,1
179,totals,,,,,,,0,1,257,281,,,0
180,totals,,,,,,,0,1,234,304,,,1
181,totals,,,,,,,0,1,263,275,,,0
182,totals,,,,,,,1,0,272,266,,,0
183,totals,,,,,,,0,1,262,276,,,1
184,totals,,,,,,,1,0,272,266,,,0
185,totals,,,,,,,1,0,272,266,,,0
186,totals,,,,,,,1,0,278,260,,,0
187,totals,,,,,,,0,1,267,271,,,0
188,totals,,,,,,,0,1,251,287,,,0
189,totals,,,,,,,0,1,247,291,,,0
190,totals,,,,,,,0,1,257,281,,,1
191,totals,,,,,,,1,0,278,260,,,0
192,totals,,,,,,,0,1,240,298,,,1
193,totals,,,,,,,0,1,257,281,,,0
194,totals,,,,,,,0,1,257,281,,,0
195,totals,,,,,,,1,0,278,260,,,0
196,totals,,,,,,,1,0,285,253,,,1
197,totals,,,,,,,0,1,263,275,,,0
198,totals,,,,,,,0,1,253,285,,,1
199,totals,,,,,,,0,1,257,281,,,0
200,totals,,,,,,,0,1,267,271,,,1
201,totals,,,,,,,0,1,261,277,,,1
202,totals,,,,,,,1,0,272,266,,,0
203,totals,,,,,,,0,1,263,275,,,0
204,totals,,,,,,,0,1,267,271,,,0
205,totals,,,,,,,0,1,230,308,,,0
206,totals,,,,,,,1,0,278,260,,,0
207,totals,,,,,,,1,0,272,266,,,1
208,totals,,,,,,,0,1,244,294,,,1
209,totals,,,,,,,1,0,275,263,,,0
210,totals,,,,,,,0,1,241,297,,,0
211,totals,,,,,,,0,1,263,275,,,0
212,totals,,,,,,,0,1,246,292,,,0
213,totals,,,,,,,0,1,266,272,,,2
214,totals,,,,,,,0,1,264,274,,,1
215,totals,,,,,,,1,0,278,260,,,0
216,totals,,,,,,,1,0,278,260,,,0
217,totals,,,,,,,0,1,249,289,,,0
218,totals,,,,,,,0,1,256,282,,,1
219,totals,,,,,,,0,1,247,291,,,0
220,totals,,,,,,,1,0,281,257,,,0
221,totals,,,,,,,0,1,260,278,,,0
222,totals,,,,,,,0,1,262,276,,,0
223,totals,,,,,,,1,0,278,260,,,0
224,totals,,,,,,,0,1,266,272,,,0
225,totals,,,,,,,1,0,275,263,,,0
226,totals,,,,,,,1,0,272,266,,,1
227,totals,,,,,,,0,1,265,273,,,1
228,totals,,,,,,,0,1,257,281,,,0
